#  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
-38.8297  49.7010  256.169  190  4.6859E+00  8.7145E+00
-38.9060  49.8752  256.051  191  4.7001E+00  8.7929E+00
-38.9821  50.0497  255.934  192  4.7143E+00  8.8714E+00
-39.0578  50.2247  255.816  193  4.7291E+00  8.9503E+00
-39.1334  50.4000  255.698  194  4.7438E+00  9.0293E+00
-39.2086  50.5757  255.580  195  4.7584E+00  9.1086E+00
-39.2836  50.7518  255.463  196  4.7729E+00  9.1882E+00
-39.3583  50.9282  255.345  197  4.7872E+00  9.2680E+00
-39.4327  51.1051  255.227  198  4.8027E+00  9.3480E+00
-39.5069  51.2823  255.109  199  4.8188E+00  9.4283E+00
-39.5808  51.4599  254.991  200  4.8348E+00  9.5089E+00
-39.6544  51.6378  254.873  201  4.8507E+00  9.5898E+00
-39.7278  51.8161  254.755  202  4.8665E+00  9.6709E+00
-39.8009  51.9949  254.637  203  4.8824E+00  9.7522E+00
-39.8737  52.1739  254.519  204  4.8980E+00  9.8339E+00
-39.9462  52.3534  254.401  205  4.9139E+00  9.9158E+00
-40.0184  52.5333  254.283  206  4.9297E+00  9.9979E+00
-40.0904  52.7135  254.165  207  4.9447E+00  1.0080E+01
-40.1621  52.8941  254.047  208  4.9597E+00  1.0163E+01
-40.2335  53.0751  253.929  209  4.9742E+00  1.0246E+01
-40.3046  53.2564  253.812  210  4.9882E+00  1.0329E+01
-40.3754  53.4382  253.695  211  5.0022E+00  1.0412E+01
-40.4460  53.6203  253.577  212  5.0160E+00  1.0496E+01
-40.5162  53.8028  253.460  213  5.0302E+00  1.0580E+01
-40.5862  53.9857  253.343  214  5.0443E+00  1.0664E+01
-40.6558  54.1690  253.227  215  5.0588E+00  1.0748E+01
-40.7252  54.3526  253.110  216  5.0731E+00  1.0833E+01
-40.7943  54.5366  252.993  217  5.0873E+00  1.0918E+01
-40.8631  54.7210  252.877  218  5.1013E+00  1.1003E+01
-40.9316  54.9058  252.760  219  5.1151E+00  1.1088E+01
-40.9998  55.0910  252.643  220  5.1288E+00  1.1173E+01
-41.0677  55.2766  252.526  221  5.1413E+00  1.1259E+01
-41.1353  55.4625  252.409  222  5.1537E+00  1.1345E+01
